,chr,pos,strand,Type,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,Correlation with Age
cg14463736,chrY,15817372,+,II,chrY:15815488-15815779,S_Shore,TMSB4Y,3'UTR,-0.010926237981815
cg08593141,chrY,15866447,+,II,chrY:15863345-15864834,S_Shore,,,-0.040021266826436
cg04021548,chrY,16634027,-,II,chrY:16635739-16636047,N_Shore,NLGN4Y,TSS1500,0.107064571379011
cg06247034,chrY,16634255,+,II,chrY:16635739-16636047,N_Shore,NLGN4Y;NLGN4Y,TSS1500;TSS1500,0.24405891871552
cg04691144,chrY,16634373,+,II,chrY:16635739-16636047,N_Shore,NLGN4Y;NLGN4Y,TSS1500;TSS200,0.283827757808366
cg01073572,chrY,16924422,+,II,,OpenSea,NLGN4Y;NLGN4Y;NLGN4Y,Body;Body;Body,-0.119469404608516
cg23834181,chrY,17567486,+,II,chrY:17567579-17568617,N_Shore,,,0.158580510830322
cg04792227,chrY,17568097,+,I,chrY:17567579-17568617,Island,,,0.080163702194004
cg00679624,chrY,17568445,+,II,chrY:17567579-17568617,Island,,,0.059813247934186
cg20764275,chrY,17568616,+,II,chrY:17567579-17568617,Island,,,0.069747663688312
cg01209756,chrY,19671414,+,II,chrY:19671324-19671587,Island,,,-0.100135668231338
cg25012987,chrY,19691491,+,II,chrY:19691214-19691762,Island,LOC401629;LOC401630,TSS200;TSS200,0.048418012623746
cg16292375,chrY,19691502,+,II,chrY:19691214-19691762,Island,LOC401629;LOC401630,TSS200;TSS200,0.112784453047319
cg16894943,chrY,20488269,-,II,chrY:20488010-20488557,Island,LOC401630;LOC401629,TSS200;TSS200,0.051748444202921
cg06060201,chrY,20488280,-,II,chrY:20488010-20488557,Island,LOC401630;LOC401629,TSS200;TSS200,0.060624826911614
cg04170994,chrY,20488293,-,II,chrY:20488010-20488557,Island,LOC401630;LOC401629,TSS200;TSS200,0.060673601083867
cg23308414,chrY,20508362,-,II,chrY:20508190-20508452,Island,,,-0.090020896211658
cg26046487,chrY,20736147,-,II,,OpenSea,HSFY1;HSFY2;HSFY2;HSFY1,Body;Body;Body;Body,-0.052302461323365
cg10691859,chrY,21041339,+,II,,OpenSea,NCRNA00185,TSS1500,-0.134509835239357
cg26251715,chrY,21236229,-,II,chrY:21238448-21240005,N_Shelf,TTTY14,Body,-0.035687937520677
cg06628792,chrY,21240004,+,II,chrY:21238448-21240005,Island,TTTY14,TSS1500,0.230466827523431
cg00121626,chrY,21664296,-,II,chrY:21664481-21665063,N_Shore,BCORL2,Body,0.157954470676968
cg15027426,chrY,21664604,-,I,chrY:21664481-21665063,Island,BCORL2,Body,0.039028879522274
cg00876332,chrY,21664717,+,II,chrY:21664481-21665063,Island,BCORL2,Body,0.146670636157176
cg15794778,chrY,21665021,-,II,chrY:21664481-21665063,Island,BCORL2,Body,0.134227636048093
cg06231362,chrY,21726406,+,II,chrY:21729143-21729556,N_Shelf,,,-0.087651320669379
cg25756647,chrY,21728575,+,I,chrY:21729143-21729556,N_Shore,CYorf15A,TSS1500,-0.091522288258825
cg10076560,chrY,21729144,+,I,chrY:21729143-21729556,Island,CYorf15A,TSS200,-0.072662715623752
cg10799208,chrY,22681436,-,II,,OpenSea,TTTY10,TSS1500,-0.07571396713454
cg26928789,chrY,22682393,-,II,,OpenSea,TTTY10,TSS1500,-0.115915348050898
cg09081202,chrY,22735320,-,II,chrY:22737825-22738052,N_Shelf,,,-0.19758652897295
cg13308744,chrY,22736584,-,II,chrY:22737825-22738052,N_Shore,EIF1AY,TSS1500,-0.384861332557364
cg00063477,chrY,22741795,+,II,chrY:22737825-22738052,S_Shelf,EIF1AY,Body,-0.019784909579299
cg10841270,chrY,22917104,+,I,,OpenSea,RPS4Y2,TSS1500,-0.217202432251308
cg17741448,chrY,22917782,+,II,,OpenSea,RPS4Y2,TSS200,-0.130239633048298
cg03416979,chrY,23566288,-,II,chrY:23566571-23566864,N_Shore,,,-0.110257705519974
cg25918849,chrY,23753332,-,II,,OpenSea,TTTY13,Body,-0.027312842224855
cg14273923,chrY,28555912,+,II,chrY:28555535-28555932,Island,,,0.170183371382461
